query_id,texto_original,AP_Vetorial,P10_Vetorial,NDCG_Vetorial,AP_BM25,P10_BM25,NDCG_BM25,Diferenca_BM25_menos_Vetorial,Media_AP
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",0.31533297699455304,0.6,0.5365078682328377,0.23388176552346168,0.4,0.3600040790944101,-0.08145121147109136,0.27460737125900736
2,"what are the structural and aeroelastic problems associated with flight
of high speed aircraft .",0.2207451662989329,0.4,0.6049211728888212,0.2154632210670113,0.4,0.5869866805081211,-0.005281945231921603,0.2181041936829721
3,"what problems of heat conduction in composite slabs have been solved so
far .",0.6873538011695908,0.7,0.7388864036938406,0.6708423520923521,0.7,0.7434060993872782,-0.01651144907723867,0.6790980766309714
4,"can a criterion be developed to show empirically the validity of flow
solutions for chemically reacting gas mixtures based on the simplifying
assumption of instantaneous local chemical equilibrium .",0.5833333333333334,0.1,0.6131471927654584,0.5344827586206896,0.1,0.6131471927654584,-0.04885057471264376,0.5589080459770115
5,"what chemical kinetic system is applicable to hypersonic aerodynamic
problems .",0.2653801843317972,0.2,0.38048398765388947,0.41515151515151516,0.3,0.5882457875906547,0.14977133081971794,0.3402658497416562
6,"what theoretical and experimental guides do we have as to turbulent
couette flow behaviour .",0.15390406162464984,0.2,0.2896691203769041,0.1762945914844649,0.1,0.20607801570427584,0.022390529859815073,0.1650993265545574
7,"is it possible to relate the available pressure distributions for an
ogive forebody at zero angle of attack to the lower surface pressures of
an equivalent ogive forebody at angle of attack .",0.1424829010194864,0.2,0.22922701555675037,0.17883547338540057,0.2,0.2724558813422326,0.03635257236591416,0.1606591872024435
8,"what methods -dash exact or approximate -dash are presently available
for predicting body pressures at angle of attack.",0.21872339002802924,0.2,0.28339660873566963,0.11971239777009396,0.1,0.16842717545221192,-0.09901099225793528,0.1692178938990616
9,papers on internal /slip flow/ heat transfer studies .,1.0,0.3,1.0,0.9166666666666666,0.3,0.9674679834891694,-0.08333333333333337,0.9583333333333333
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",0.2028671048981307,0.1,0.209690670088435,0.150758153444285,0.1,0.1323000828051301,-0.0521089514538457,0.17681262917120785
11,"is it possible to find an analytical,  similar solution of the strong
blast wave problem in the newtonian approximation .",0.2604785417702038,0.3,0.25016498560190653,0.2296918105811981,0.2,0.21668217922435443,-0.030786731189005684,0.24508517617570097
12,"how can the aerodynamic performance of channel flow ground effect
machines be calculated .",0.17898143741075678,0.2,0.27731855011931333,0.27849129593810446,0.2,0.28785434950844296,0.09950985852734767,0.22873636667443062
13,what is the basic mechanism of the transonic aileron buzz .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,papers on shock-sound wave interaction .,0.5833333333333334,0.1,0.8637574337885663,0.5833333333333334,0.1,0.8637574337885663,0.0,0.5833333333333334
15,material properties of photoelastic materials .,0.6666666666666666,0.2,0.6508780296742857,1.0,0.2,0.8597186998521972,0.33333333333333337,0.8333333333333333
16,"can the transverse potential flow about a body of revolution be
calculated efficiently by an electronic computer .",0.2019927536231884,0.1,0.23981246656813146,0.19877344877344874,0.1,0.23981246656813146,-0.003219304849739646,0.20038310119831856
17,"can the three-dimensional problem of a transverse potential flow about
a body of revolution be reduced to a two-dimensional problem .",0.5079365079365079,0.1,0.7039180890341347,0.10694444444444445,0.1,0.272312688806029,-0.40099206349206346,0.3074404761904762
18,"are experimental pressure distributions on bodies of revolution at angle
of attack available .",0.1343568747867622,0.1,0.23463936301137825,0.19550601556970984,0.1,0.2960819109658653,0.06114914078294764,0.16493144517823602
19,"does there exist a good basic treatment of the dynamics of re-entry
combining consideration of realistic effects with relative simplicity of
results .",0.13366208770831645,0.1,0.29929892505139594,0.07681530021153814,0.1,0.18883659702687935,-0.05684678749677831,0.1052386939599273
20,"has anyone formally determined the influence of joule heating,  produced
by the induced current,  in magnetohydrodynamic free convection flows
under general conditions .",0.5921771130104463,0.5,0.5287324048297514,0.5846034874490159,0.6,0.5966758057480421,-0.007573625561430375,0.588390300229731
21,"why does the compressibility transformation fail to correlate the high
speed data for helium and air .",0.2181684981684982,0.2,0.3432619894316359,0.07080275313583641,0.0,0.0,-0.1473657450326618,0.1444856256521673
22,"did anyone else discover that the turbulent skin friction is not over
sensitive to the nature of the variation of the viscosity with
temperature .",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,what progress has been made in research on unsteady aerodynamics .,0.2637391091496799,0.5,0.3949887295247016,0.24256194971693104,0.5,0.3952495742814944,-0.021177159432748865,0.25315052943330546
24,"what are the factors which influence the time required to invert large
structural matrices .",0.4801587301587302,0.2,0.6904407032588902,0.3645833333333333,0.2,0.540460348067574,-0.11557539682539686,0.42237103174603174
25,"does a practical flow follow the theoretical concepts for the
interaction between adjacent blade rows of a supersonic cascade .",0.44791402720475737,0.4,0.47874737500743586,0.6901241123449106,0.6,0.7271751793430841,0.2422100851401532,0.569019069774834
26,"what is a single approximate formula for the displacement thickness of
a laminar boundary layer in compressible flow on a flat plate .",0.2643613242398409,0.3,0.43460856418739763,0.2381745825805046,0.2,0.3918360297400495,-0.026186741659336266,0.2512679534101727
27,"how is the design of ring or part ring wings by linear theory affected
by thickness .",0.06775599128540305,0.0,0.0,0.120415982484948,0.1,0.12669792223864473,0.05265999119954495,0.09408598688517553
28,what application has the linear theory design of curved wings .,0.006643164040982703,0.0,0.0,0.005160256410256411,0.0,0.0,-0.0014829076307262927,0.005901710225619557
29,"what is the effect of cross sectional shape on the flow over simple
delta wings with sharp leading edges .",0.43771101526104556,0.4,0.4893490812110091,0.43631315243187396,0.4,0.5027196907974661,-0.0013978628291715922,0.43701208384645973
30,papers on flow visualization on slender conical wings .,0.05120579000269491,0.0,0.0,0.07424948597503186,0.1,0.11020989177680433,0.023043695972336957,0.06272763798886338
31,"what size of end plate can be safely used to simulate two-dimensional
flow conditions over a bluff cylindrical body of finite aspect ratio .",0.0008880994671403197,0.0,0.0,0.0009149130832570906,0.0,0.0,2.6813616116770872e-05,0.0009015062751987052
32,"to find an approximate correction for thickness in slender thin-wing
theory .",0.12441381796220506,0.2,0.11666154845162628,0.13254820398578626,0.2,0.1291607334315776,0.0081343860235812,0.12848101097399567
33,"how do interference-free longitudinal stability measurements (made
using free-flight models) compare with similar measurements made in
a low-blockage wind tunnel .",0.5888888888888889,0.3,0.6740190899733329,0.6388888888888888,0.3,0.6973180732318199,0.04999999999999993,0.6138888888888889
34,"have wind tunnel interference effects been investigated on a systematic
basis .",0.46279461279461276,0.4,0.4888678845006629,0.32804768331084116,0.3,0.3560639641845067,-0.1347469294837716,0.395421148052727
35,"are there any papers dealing with acoustic wave propagation in reacting
gases .",0.0423076923076923,0.0,0.0,0.03341013824884793,0.0,0.0,-0.008897554058844376,0.037858915278270115
