preprocessamento,modelo,query_id,precision_at_10,recall_at_10,f1_at_10,ap,rr,ndcg_at_10
basico,Vetorial (TF-IDF),1,0.5,0.17857142857142858,0.2631578947368421,0.2921146731039907,1.0,0.4634324933520327
basico,BM25,1,0.6,0.21428571428571427,0.3157894736842105,0.24951659695683626,1.0,0.5001505063042675
basico,Vetorial (TF-IDF),2,0.4,0.16666666666666666,0.23529411764705882,0.2005041192419781,1.0,0.5869866805081211
basico,BM25,2,0.4,0.16666666666666666,0.23529411764705882,0.1712545676098928,1.0,0.5231840906933135
basico,Vetorial (TF-IDF),3,0.6,0.75,0.6666666666666665,0.701068935427574,1.0,0.7825367142417475
basico,BM25,3,0.4,0.5,0.4444444444444445,0.6085069444444444,1.0,0.647939623894138
basico,Vetorial (TF-IDF),4,0.2,1.0,0.33333333333333337,0.6428571428571428,1.0,0.8175295903539445
basico,BM25,4,0.2,1.0,0.33333333333333337,0.625,1.0,0.8065735963827293
basico,Vetorial (TF-IDF),5,0.2,0.5,0.28571428571428575,0.11784188034188035,0.16666666666666666,0.3078194216524256
basico,BM25,5,0.1,0.25,0.14285714285714288,0.19475867269984917,0.3333333333333333,0.2385191169365424
basico,Vetorial (TF-IDF),6,0.1,0.25,0.14285714285714288,0.06940395951165795,0.2,0.12635615681975276
basico,BM25,6,0.1,0.25,0.14285714285714288,0.15048278423258526,0.5,0.20607801570427584
basico,Vetorial (TF-IDF),7,0.2,0.4,0.26666666666666666,0.20263576086360896,0.3333333333333333,0.28591926394768896
basico,BM25,7,0.2,0.4,0.26666666666666666,0.2087207618589612,0.3333333333333333,0.28591926394768896
basico,Vetorial (TF-IDF),8,0.3,0.2727272727272727,0.28571428571428564,0.18831441547009728,0.5,0.32595343499661233
basico,BM25,8,0.1,0.09090909090909091,0.09523809523809525,0.16157288786376273,1.0,0.2669507571941387
basico,Vetorial (TF-IDF),9,0.3,1.0,0.4615384615384615,1.0,1.0,1.0
basico,BM25,9,0.3,1.0,0.4615384615384615,0.8055555555555555,1.0,0.9060254355346824
basico,Vetorial (TF-IDF),10,0.2,0.25,0.22222222222222224,0.11857409156879996,0.5,0.22322137849952256
basico,BM25,10,0.1,0.125,0.11111111111111112,0.11796329737672413,0.5,0.1323000828051301
basico,Vetorial (TF-IDF),11,0.3,0.42857142857142855,0.3529411764705882,0.29055365755365753,0.5,0.3424754153865227
basico,BM25,11,0.2,0.2857142857142857,0.23529411764705882,0.19847437467833393,0.5,0.2093030477261255
basico,Vetorial (TF-IDF),12,0.2,0.4,0.26666666666666666,0.1557943067033976,0.16666666666666666,0.24427548732131094
basico,BM25,12,0.2,0.4,0.26666666666666666,0.21930033003300328,0.3333333333333333,0.23919165939156042
basico,Vetorial (TF-IDF),13,0.0,0.0,0.0,0.0027992269605154807,0.002531645569620253,0.0
basico,BM25,13,0.0,0.0,0.0,0.0029649178037311967,0.002369668246445498,0.0
basico,Vetorial (TF-IDF),14,0.2,1.0,0.33333333333333337,0.6428571428571428,1.0,0.9357372199376134
basico,BM25,14,0.2,1.0,0.33333333333333337,0.6666666666666666,1.0,0.9406765852469334
basico,Vetorial (TF-IDF),15,0.2,1.0,0.33333333333333337,0.8333333333333333,1.0,0.7601875334318685
basico,BM25,15,0.2,1.0,0.33333333333333337,1.0,1.0,0.8597186998521972
basico,Vetorial (TF-IDF),16,0.1,0.3333333333333333,0.15384615384615383,0.39913419913419906,1.0,0.38009376671593426
basico,BM25,16,0.1,0.3333333333333333,0.15384615384615383,0.23928571428571424,0.5,0.23981246656813146
basico,Vetorial (TF-IDF),17,0.1,0.5,0.16666666666666669,0.5098039215686274,1.0,0.7039180890341347
basico,BM25,17,0.1,0.5,0.16666666666666669,0.1381578947368421,0.25,0.3031610197508214
basico,Vetorial (TF-IDF),18,0.1,0.3333333333333333,0.15384615384615383,0.09789135595587208,0.2,0.1815417925373527
basico,BM25,18,0.1,0.3333333333333333,0.15384615384615383,0.1679340937896071,0.3333333333333333,0.23463936301137825
basico,Vetorial (TF-IDF),19,0.2,0.2222222222222222,0.2105263157894737,0.06682020877646785,0.2,0.12511166823991668
basico,BM25,19,0.1,0.1111111111111111,0.10526315789473685,0.04483257707492631,0.1,0.057677861191408206
basico,Vetorial (TF-IDF),20,0.5,0.5555555555555556,0.5263157894736842,0.4638863708308152,0.5,0.5057477751290633
basico,BM25,20,0.4,0.4444444444444444,0.4210526315789474,0.42372833191247516,0.5,0.4507735274888854
basico,Vetorial (TF-IDF),21,0.2,0.5,0.28571428571428575,0.29168410041841003,0.5,0.4463549655161742
basico,BM25,21,0.2,0.5,0.28571428571428575,0.1704822954822955,0.3333333333333333,0.3634538711629086
basico,Vetorial (TF-IDF),22,0.0,0.0,0.0,0.0009541984732824427,0.0009541984732824427,0.0
basico,BM25,22,0.0,0.0,0.0,0.0017391304347826088,0.0017391304347826088,0.0
basico,Vetorial (TF-IDF),23,0.4,0.125,0.19047619047619047,0.17224773366365193,0.3333333333333333,0.31906582322969207
basico,BM25,23,0.1,0.03125,0.047619047619047616,0.14024405297873685,1.0,0.2620955839547857
basico,Vetorial (TF-IDF),24,0.2,0.6666666666666666,0.30769230769230765,0.23635448136958712,0.5,0.46836627233016775
basico,BM25,24,0.2,0.6666666666666666,0.30769230769230765,0.2661064425770308,0.5,0.4909032264228103
basico,Vetorial (TF-IDF),25,0.2,0.2222222222222222,0.2105263157894737,0.29686393691794816,1.0,0.2711255261998129
basico,BM25,25,0.5,0.5555555555555556,0.5263157894736842,0.4930941637794429,1.0,0.5418858558565275
basico,Vetorial (TF-IDF),26,0.3,0.5,0.37499999999999994,0.22078701399258893,0.3333333333333333,0.39756856381144573
