query_id,texto_original,AP_Vetorial,P10_Vetorial,NDCG_Vetorial,AP_BM25,P10_BM25,NDCG_BM25,Diferenca_BM25_menos_Vetorial,Media_AP
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",0.287339797875003,0.5,0.5043028586926324,0.23388176552346168,0.4,0.3600040790944101,-0.05345803235154134,0.26061078169923235
2,"what are the structural and aeroelastic problems associated with flight
of high speed aircraft .",0.23271584313513874,0.4,0.6049211728888212,0.2154632210670113,0.4,0.5869866805081211,-0.017252622068127443,0.22408953210107502
3,"what problems of heat conduction in composite slabs have been solved so
far .",0.6775268440709618,0.7,0.7434060993872782,0.6708423520923521,0.7,0.7434060993872782,-0.006684491978609652,0.674184598081657
4,"can a criterion be developed to show empirically the validity of flow
solutions for chemically reacting gas mixtures based on the simplifying
assumption of instantaneous local chemical equilibrium .",0.5555555555555556,0.1,0.6131471927654584,0.5344827586206896,0.1,0.6131471927654584,-0.021072796934865967,0.5450191570881227
5,"what chemical kinetic system is applicable to hypersonic aerodynamic
problems .",0.34289554531490013,0.3,0.5522621499320756,0.41515151515151516,0.3,0.5882457875906547,0.07225596983661503,0.3790235302332077
6,"what theoretical and experimental guides do we have as to turbulent
couette flow behaviour .",0.08867751355861495,0.1,0.12635615681975276,0.1762945914844649,0.1,0.20607801570427584,0.08761707792584997,0.13248605252153994
7,"is it possible to relate the available pressure distributions for an
ogive forebody at zero angle of attack to the lower surface pressures of
an equivalent ogive forebody at angle of attack .",0.16461422297224204,0.2,0.25115857099522293,0.17883547338540057,0.2,0.2724558813422326,0.014221250413158526,0.1717248481788213
8,"what methods -dash exact or approximate -dash are presently available
for predicting body pressures at angle of attack.",0.14943786823512034,0.1,0.16842717545221192,0.11971239777009396,0.1,0.16842717545221192,-0.029725470465026382,0.13457513300260715
9,papers on internal /slip flow/ heat transfer studies .,1.0,0.3,1.0,0.9166666666666666,0.3,0.9674679834891694,-0.08333333333333337,0.9583333333333333
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",0.21745373883231775,0.2,0.3089157321922826,0.150758153444285,0.1,0.1323000828051301,-0.06669558538803275,0.1841059461383014
11,"is it possible to find an analytical,  similar solution of the strong
blast wave problem in the newtonian approximation .",0.2187522198183179,0.2,0.19888195389375996,0.2296918105811981,0.2,0.21668217922435443,0.010939590762880202,0.224222015199758
12,"how can the aerodynamic performance of channel flow ground effect
machines be calculated .",0.23814961206265553,0.3,0.35552134039297395,0.27849129593810446,0.2,0.28785434950844296,0.040341683875448925,0.25832045400038
