query_id,modelo,doc_fonte,posicao
1,Vetorial (TF-IDF),486,4.0
1,BM25,486,2.0
2,Vetorial (TF-IDF),486,45.0
2,BM25,486,26.0
3,Vetorial (TF-IDF),485,1.0
3,BM25,485,1.0
4,Vetorial (TF-IDF),488,2.0
4,BM25,488,2.0
5,Vetorial (TF-IDF),488,16.0
5,BM25,488,11.0
6,Vetorial (TF-IDF),491,1.0
6,BM25,491,1.0
7,Vetorial (TF-IDF),492,1.0
7,BM25,492,1.0
8,Vetorial (TF-IDF),492,1.0
8,BM25,492,1.0
9,Vetorial (TF-IDF),534,12.0
9,BM25,534,35.0
10,Vetorial (TF-IDF),493,2.0
10,BM25,493,1.0
11,Vetorial (TF-IDF),495,1.0
11,BM25,495,1.0
12,Vetorial (TF-IDF),624,1.0
12,BM25,624,1.0
13,Vetorial (TF-IDF),496,1.0
13,BM25,496,1.0
14,Vetorial (TF-IDF),496,250.0
14,BM25,496,190.0
15,Vetorial (TF-IDF),497,
15,BM25,497,
16,Vetorial (TF-IDF),498,2.0
16,BM25,498,1.0
17,Vetorial (TF-IDF),498,7.0
17,BM25,498,18.0
18,Vetorial (TF-IDF),498,3.0
18,BM25,498,3.0
19,Vetorial (TF-IDF),499,
19,BM25,499,
20,Vetorial (TF-IDF),500,1.0
20,BM25,500,1.0
21,Vetorial (TF-IDF),502,1.0
21,BM25,502,1.0
22,Vetorial (TF-IDF),502,
22,BM25,502,
23,Vetorial (TF-IDF),892,1.0
23,BM25,892,1.0
24,Vetorial (TF-IDF),756,1.0
24,BM25,756,1.0
25,Vetorial (TF-IDF),511,6.0
25,BM25,511,7.0
26,Vetorial (TF-IDF),511,1086.0
26,BM25,511,1085.0
27,Vetorial (TF-IDF),512,7.0
27,BM25,512,6.0
28,Vetorial (TF-IDF),512,496.0
28,BM25,512,525.0
29,Vetorial (TF-IDF),513,14.0
29,BM25,513,10.0
30,Vetorial (TF-IDF),513,2.0
30,BM25,513,2.0
31,Vetorial (TF-IDF),751,1.0
31,BM25,751,1.0
32,Vetorial (TF-IDF),752,1.0
32,BM25,752,1.0
33,Vetorial (TF-IDF),516,1.0
33,BM25,516,1.0
34,Vetorial (TF-IDF),516,4.0
34,BM25,516,2.0
35,Vetorial (TF-IDF),517,107.0
35,BM25,517,126.0
36,Vetorial (TF-IDF),518,17.0
36,BM25,518,4.0
37,Vetorial (TF-IDF),519,16.0
37,BM25,519,52.0
38,Vetorial (TF-IDF),536,1.0
38,BM25,536,1.0
39,Vetorial (TF-IDF),536,29.0
39,BM25,536,12.0
40,Vetorial (TF-IDF),536,1.0
40,BM25,536,1.0
41,Vetorial (TF-IDF),520,14.0
41,BM25,520,7.0
42,Vetorial (TF-IDF),521,1.0
42,BM25,521,1.0
43,Vetorial (TF-IDF),521,16.0
43,BM25,521,15.0
44,Vetorial (TF-IDF),524,
44,BM25,524,
45,Vetorial (TF-IDF),525,2.0
45,BM25,525,2.0
46,Vetorial (TF-IDF),525,2.0
46,BM25,525,2.0
47,Vetorial (TF-IDF),525,1.0
47,BM25,525,1.0
